"nm" "bkm" "wfl" "SBez" "lage.15" "Makrolage" "NeuerVertrag" "dauermv" "gew.HH_Total" "gew.HH_Erw" "gew.md"
"158" 729.49 760 27 "Ludwigvorstadt-Isarvorstadt" 3 1 0 30 1.08798410055326 1.08272083389015 0.961135367784455
"159" 1030 1130 63 "Ludwigvorstadt-Isarvorstadt" 3 1 1 7 1.08798410055326 1.08272083389015 0.961135367784455
"160" 3790 3863.75 145 "Ludwigvorstadt-Isarvorstadt" 3 1 0 269 1.08798410055326 1.08272083389015 1.18452668384622
"161" 2180 2400 95 "Ludwigvorstadt-Isarvorstadt" 3 1 1 27 0.543992050276629 0.541360416945076 0.961135367784455
"162" 2130 2375.71 127 "Ludwigvorstadt-Isarvorstadt" 3 1 1 10 1.08798410055326 1.08272083389015 0.961135367784455
"163" 830 930 55 "Ludwigvorstadt-Isarvorstadt" 3 1 0 130 1.08798410055326 1.08272083389015 1.0008582768322
"164" 1519 1634 65 "Ludwigvorstadt-Isarvorstadt" 3 1 0 21 1.08798410055326 1.08272083389015 0.961135367784455
"165" 705 763.62 46 "Ludwigvorstadt-Isarvorstadt" 3 1 1 68 1.08798410055326 1.08272083389015 0.961135367784455
"166" 839.44 922.12 61 "Ludwigvorstadt-Isarvorstadt" 3 1 0 242 1.08798410055326 1.08272083389015 1.18452668384622
"167" 955 1071.93 61 "Ludwigvorstadt-Isarvorstadt" 3 1 1 26 1.08798410055326 1.08272083389015 0.961135367784455
"168" 862.19 987.13 34 "Ludwigvorstadt-Isarvorstadt" 2 1 0 43 1.08798410055326 1.08272083389015 0.961135367784455
"169" 840 881.6 40 "Ludwigvorstadt-Isarvorstadt" 3 1 1 14 1.08798410055326 1.08272083389015 0.961135367784455
"170" 1510 1716.48 92 "Ludwigvorstadt-Isarvorstadt" 3 1 0 126 1.08798410055326 1.08272083389015 1.0008582768322
"171" 912 1007 63 "Ludwigvorstadt-Isarvorstadt" 3 1 1 69 1.08798410055326 1.08272083389015 0.961135367784455
"172" 1050 1203.51 61 "Ludwigvorstadt-Isarvorstadt" 3 1 1 16 0.543992050276629 0.541360416945076 0.961135367784455
"173" 651 735 65 "Ludwigvorstadt-Isarvorstadt" 3 1 0 291 1.08798410055326 1.08272083389015 1.18452668384622
"174" 685 784.08 38 "Ludwigvorstadt-Isarvorstadt" 3 1 1 33 1.08798410055326 1.08272083389015 0.961135367784455
"175" 768.1 807.65 35 "Ludwigvorstadt-Isarvorstadt" 2 1 1 8 1.08798410055326 1.08272083389015 0.961135367784455
"176" 1080 1334 118 "Ludwigvorstadt-Isarvorstadt" 3 1 0 342 1.08798410055326 1.08272083389015 1.18452668384622
"177" 1180 1280 62 "Ludwigvorstadt-Isarvorstadt" 3 1 0 52 1.08798410055326 1.08272083389015 0.961135367784455
